matrix-tech-tws
                             SupportUser        directconnect:Describe*
                             SupportUser            discovery:Describe*
                             SupportUser   discovery:ListConfigurations
                             SupportUser                  dms:Describe*
                             SupportUser                      dms:List*
                             SupportUser         ds:DescribeDirectories
                             SupportUser           ds:DescribeSnapshots
                             SupportUser          ds:GetDirectoryLimits
                             SupportUser           ds:GetSnapshotLimits
                             SupportUser  ds:ListAuthorizedApplications
                             SupportUser        dynamodb:DescribeLimits
                             SupportUser         dynamodb:DescribeTable
                             SupportUser            dynamodb:ListTables
                             SupportUser                  ec2:Describe*
                             SupportUser              ec2:DescribeHosts
                             SupportUser   ec2:describeIdentityIdFormat
                             SupportUser           ec2:DescribeIdFormat
                             SupportUser  ec2:DescribeInstanceAttribute
                             SupportUser        ec2:DescribeNatGateways
                             SupportUser ec2:DescribeReservedInstancesModifications
                             SupportUser               ec2:DescribeTags
                             SupportUser           ec2:GetFlowLogsCount
                             SupportUser        ecr:GetRepositoryPolicy
                             SupportUser ecr:BatchCheckLayerAvailability
                             SupportUser       ecr:DescribeRepositories
                             SupportUser                 ecr:ListImages
                             SupportUser                  ecs:Describe*
                             SupportUser                      ecs:List*
                             SupportUser          elasticache:Describe*
                             SupportUser              elasticache:List*
                             SupportUser        elasticbeanstalk:Check*
                             SupportUser     elasticbeanstalk:Describe*
                             SupportUser         elasticbeanstalk:List*
                             SupportUser elasticbeanstalk:RequestEnvironmentInfo
                             SupportUser elasticbeanstalk:RetrieveEnvironmentInfo
                             SupportUser elasticbeanstalk:ValidateConfigurationSettings
                             SupportUser    elasticfilesystem:Describe*
                             SupportUser elasticloadbalancing:Describe*
                             SupportUser     elasticmapreduce:Describe*
                             SupportUser         elasticmapreduce:List*
                             SupportUser        elastictranscoder:List*
                             SupportUser      elastictranscoder:ReadJob
                             SupportUser elasticfilesystem:DescribeFileSystems
                             SupportUser                   es:Describe*
                             SupportUser                       es:List*
                             SupportUser                   es:ESHttpGet
                             SupportUser                  es:ESHttpHead
                             SupportUser            events:DescribeRule
                             SupportUser                   events:List*
                             SupportUser        events:TestEventPattern
                             SupportUser             firehose:Describe*
                             SupportUser                 firehose:List*
                             SupportUser                 gamelift:List*
                             SupportUser             gamelift:Describe*
                             SupportUser             glacier:ListVaults
                             SupportUser          glacier:DescribeVault
                             SupportUser            glacier:DescribeJob
                             SupportUser                   glacier:Get*
                             SupportUser                  glacier:List*
                             SupportUser   iam:GenerateCredentialReport
                             SupportUser iam:GenerateServiceLastAccessedDetails
                             SupportUser                       iam:Get*
                             SupportUser                      iam:List*
                             SupportUser         importexport:GetStatus
                             SupportUser          importexport:ListJobs
                             SupportUser      importexport:GetJobDetail
                             SupportUser            inspector:Describe*
                             SupportUser                inspector:List*
                             SupportUser inspector:GetAssessmentTelemetry
                             SupportUser         inspector:LocalizeText
                             SupportUser                  iot:Describe*
                             SupportUser                       iot:Get*
                             SupportUser                      iot:List*
                             SupportUser kinesisanalytics:DescribeApplication
                             SupportUser kinesisanalytics:DiscoverInputSchema
                             SupportUser kinesisanalytics:GetApplicationState
                             SupportUser kinesisanalytics:ListApplications
                             SupportUser              kinesis:Describe*
                             SupportUser                   kinesis:Get*
                             SupportUser                  kinesis:List*
                             SupportUser                  kms:Describe*
                             SupportUser                       kms:Get*
                             SupportUser                      kms:List*
                             SupportUser                   lambda:List*
                             SupportUser                    lambda:Get*
                             SupportUser                 logs:Describe*
                             SupportUser          logs:TestMetricFilter
                             SupportUser      machinelearning:Describe*
                             SupportUser           machinelearning:Get*
                             SupportUser           mobilehub:GetProject
                             SupportUser                mobilehub:List*
                             SupportUser      mobilehub:ValidateProject
                             SupportUser    mobilehub:VerifyServiceRole
                             SupportUser             opsworks:Describe*
                             SupportUser                  rds:Describe*
                             SupportUser        rds:ListTagsForResource
                             SupportUser             redshift:Describe*
                             SupportUser                   route53:Get*
                             SupportUser                  route53:List*
                             SupportUser route53domains:CheckDomainAvailability
                             SupportUser route53domains:GetDomainDetail
                             SupportUser route53domains:GetOperationDetail
                             SupportUser           route53domains:List*
                             SupportUser                       s3:List*
                             SupportUser              sdb:GetAttributes
                             SupportUser                      sdb:List*
                             SupportUser                    sdb:Select*
                             SupportUser  servicecatalog:SearchProducts
                             SupportUser servicecatalog:DescribeProduct
                             SupportUser servicecatalog:DescribeProductView
                             SupportUser servicecatalog:ListLaunchPaths
                             SupportUser servicecatalog:DescribeProvisioningParameters
                             SupportUser servicecatalog:ListRecordHistory
                             SupportUser  servicecatalog:DescribeRecord
                             SupportUser servicecatalog:ScanProvisionedProducts
                             SupportUser                       ses:Get*
                             SupportUser                      ses:List*
                             SupportUser                       sns:Get*
                             SupportUser                      sns:List*
                             SupportUser         sqs:GetQueueAttributes
                             SupportUser                sqs:GetQueueUrl
                             SupportUser                 sqs:ListQueues
                             SupportUser             sqs:ReceiveMessage
                             SupportUser                      ssm:List*
                             SupportUser                  ssm:Describe*
                             SupportUser       storagegateway:Describe*
                             SupportUser           storagegateway:List*
                             SupportUser                     swf:Count*
                             SupportUser                  swf:Describe*
                             SupportUser                       swf:Get*
                             SupportUser                      swf:List*
                             SupportUser                       waf:Get*
                             SupportUser                      waf:List*
                             SupportUser           workspaces:Describe*
                             SupportUser             workdocs:Describe*
                             SupportUser             workmail:Describe*
                             SupportUser                  workmail:Get*
                             SupportUser           workspaces:Describe*

                     AmazonEC2FullAccess                          ec2:*
                     AmazonEC2FullAccess         elasticloadbalancing:*
                     AmazonEC2FullAccess                   cloudwatch:*
                     AmazonEC2FullAccess                  autoscaling:*
                     AmazonEC2FullAccess    iam:CreateServiceLinkedRole
